table_name,columns
search_logs,"id uuid, user_id uuid, session_id text, search_term text, search_filters jsonb, results_count integer, clicked_result_id uuid, ip_address inet, device_type text, location text, created_at timestamp with time zone"
simplified_community_settings,"id uuid, user_id uuid, profile_visibility text, allow_direct_messages boolean, notify_new_followers boolean, notify_post_interactions boolean, notify_direct_messages boolean, block_explicit_content boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
spatial_ref_sys,"srid integer, auth_name character varying, auth_srid integer, srtext character varying, proj4text character varying"
sponsored_post_analytics,"id uuid, post_id uuid, user_id uuid, date date, impressions integer, clicks integer, likes integer, comments integer, shares integer, engagement_rate numeric, cost_per_engagement numeric, created_at timestamp with time zone, updated_at timestamp with time zone"
subscription_analytics,"id uuid, user_id uuid, subscription_id uuid, period_start timestamp with time zone, period_end timestamp with time zone, total_listings integer, active_listings integer, total_views integer, total_interactions integer, average_listing_performance numeric, boosts_used integer, boost_performance_improvement numeric, most_effective_boost_type character varying, unique_viewers integer, repeat_viewers integer, viewer_engagement_rate numeric, peak_activity_hours jsonb, geographic_reach jsonb, inquiries_received integer, conversion_rate numeric, response_time_hours numeric, created_at timestamp with time zone"
subscription_plans,"id uuid, plan_id character varying, name character varying, description text, price_monthly numeric, currency character varying, boost_credits integer, boost_types jsonb, max_active_listings integer, has_business_badge boolean, has_priority_seller_badge boolean, has_premium_badge boolean, has_homepage_banner boolean, has_auto_boost boolean, has_basic_analytics boolean, has_advanced_analytics boolean, has_full_analytics boolean, has_customer_engagement_stats boolean, has_priority_support boolean, has_account_manager boolean, has_sponsored_posts boolean, is_active boolean, sort_order integer, created_at timestamp with time zone, updated_at timestamp with time zone"
support_interactions,"id uuid, user_id uuid, interaction_type text, content_id uuid, content_type text, metadata jsonb, created_at timestamp with time zone"
support_ticket_stats,"total_tickets bigint, open_tickets bigint, in_progress_tickets bigint, resolved_tickets bigint, closed_tickets bigint, urgent_tickets bigint, high_priority_tickets bigint, tickets_today bigint, tickets_this_week bigint, tickets_this_month bigint"
support_tickets,"id uuid, ticket_number text, user_id uuid, subject text, description text, category text, priority text, status text, assigned_to uuid, resolution text, metadata jsonb, created_at timestamp with time zone, updated_at timestamp with time zone, last_response_at timestamp with time zone"
suspicious_activity_log,"id uuid, user_id uuid, activity_type text, severity text, details jsonb, ip_address inet, user_agent text, location_data jsonb, action_taken text, resolved boolean, created_at timestamp with time zone, resolved_at timestamp with time zone"
system_logs,"id uuid, log_type character varying, user_id uuid, action character varying, details jsonb, created_at timestamp with time zone"
ticket_responses,"id uuid, ticket_id uuid, user_id uuid, response_text text, response_type text, is_internal boolean, metadata jsonb, created_at timestamp with time zone"
trial_boost_tracking,"id uuid, user_id uuid, listing_id uuid, boost_type character varying, duration character varying, activated_at timestamp with time zone, expires_at timestamp with time zone, status character varying, expiry_notification_sent boolean, created_at timestamp with time zone"
typing_indicators,"conversation_id uuid, user_id uuid, is_typing boolean, started_at timestamp with time zone, expires_at timestamp with time zone"
unified_purchase_history,"purchase_id uuid, user_id uuid, purchase_type text, item_name character varying, item_id character varying, amount numeric, currency character varying, payment_method character varying, status character varying, payment_reference character varying, quantity_details text, purchase_details jsonb, created_at timestamp with time zone, completed_at timestamp with time zone, category text"
user_achievements,"id uuid, user_id uuid, achievement_type character varying, achievement_name character varying, description text, credits_rewarded integer, progress_current integer, progress_required integer, is_completed boolean, unlocked_at timestamp with time zone, created_at timestamp with time zone"
user_blocks,"id uuid, blocker_id uuid, blocked_id uuid, reason text, created_at timestamp with time zone"
user_credits,"id uuid, user_id uuid, credits integer, total_earned integer, total_spent integer, created_at timestamp with time zone, updated_at timestamp with time zone"
user_experiment_assignments,"id uuid, user_id uuid, experiment_id uuid, group_type text, assigned_at timestamp with time zone"
user_follows,"id uuid, follower_id uuid, followed_id uuid, created_at timestamp with time zone"
user_friendly_ids,"id uuid, user_id uuid, friendly_id character varying, created_at timestamp with time zone, updated_at timestamp with time zone"
user_locations,"id uuid, user_id uuid, latitude numeric, longitude numeric, address text, city text, region text, country text, is_primary boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
user_notification_preferences,"id uuid, user_id uuid, preferences jsonb, created_at timestamp with time zone, updated_at timestamp with time zone"
user_premium_purchases,"id uuid, user_id uuid, feature_type text, listing_id uuid, price_paid numeric, currency text, starts_at timestamp with time zone, expires_at timestamp with time zone, is_active boolean, payment_reference text, payment_method text, created_at timestamp with time zone, updated_at timestamp with time zone"
user_reports,"id uuid, reporter_id uuid, reported_id uuid, reason text, description text, status text, created_at timestamp with time zone, updated_at timestamp with time zone, context text"
user_reward_history,"id uuid, user_id uuid, reward_type character varying, is_claimed boolean, claimed_at timestamp with time zone, created_at timestamp with time zone"
user_sessions,"id uuid, user_id uuid, session_token text, device_type text, device_info jsonb, ip_address inet, location text, started_at timestamp with time zone, last_activity timestamp with time zone, ended_at timestamp with time zone, is_active boolean, created_at timestamp with time zone, updated_at timestamp with time zone"
user_settings,"user_id uuid, settings jsonb, created_at timestamp with time zone, updated_at timestamp with time zone"
user_subscriptions,"id uuid, user_id uuid, plan_id character varying, status character varying, starts_at timestamp with time zone, ends_at timestamp with time zone, next_billing_date timestamp with time zone, payment_method character varying, payment_reference character varying, monthly_price numeric, currency character varying, current_period_start timestamp with time zone, current_period_end timestamp with time zone, billing_cycle_count integer, boost_credits_allocated integer, boost_credits_used integer, boost_credits_remaining integer, subscription_metadata jsonb, created_at timestamp with time zone, updated_at timestamp with time zone, cancelled_at timestamp with time zone, cancellation_reason text, auto_renewal_enabled boolean, auto_renewal_payment_method character varying"
user_suspensions,"id uuid, user_id uuid, reason text, suspended_by uuid, suspended_at timestamp with time zone, expires_at timestamp with time zone, status text, lifted_by uuid, lifted_at timestamp with time zone, lift_reason text, created_at timestamp with time zone, updated_at timestamp with time zone"
user_trust_scores,"user_id uuid, trust_score numeric, factors jsonb, last_calculated timestamp with time zone, verification_status text, risk_level text"
user_verification_requests,"id uuid, user_id uuid, verification_type text, status text, documents jsonb, verification_data jsonb, submitted_at timestamp with time zone, reviewed_at timestamp with time zone, reviewer_id uuid, reviewer_notes text, expires_at timestamp with time zone"
user_verification_status,"id uuid, is_verified boolean, verification_level text, verification_badges jsonb, verification_score integer, last_verification_update timestamp with time zone, phone_verified boolean, email_verified boolean, identity_verified boolean, business_verified boolean, verification_count bigint"
verification_documents,"id uuid, request_id uuid, user_id uuid, document_type text, file_name text, file_url text, file_size integer, mime_type text, storage_path text, metadata jsonb, uploaded_at timestamp with time zone, verified_at timestamp with time zone, verification_notes text"
weekly_top_sellers,"id uuid, week_start date, week_end date, user_id uuid, subscription_id uuid, rank integer, activity_score numeric, featured_listing_id uuid, featured_listing_title text, featured_listing_image_url text, created_at timestamp with time zone"
